Review	Liked
"What did bother me, was the slow service."	-1
The flair bartenders are absolutely amazing!	1
Their frozen margaritas are WAY too sugary for my taste.	-1
These were so good we ordered them twice.	1
So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.	-1
My girlfriend's veal was very bad.	-1
"Unfortunately, it was not good."	-1
I had a pretty satifying experience.	1
Join the club and get awesome offers via email.	1
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder."	1
Bland and flavorless is a good way of describing the barely tepid meat.	-1
"The chains, which I'm no fan of, beat this place easily."	-1
The nachos are a MUST HAVE!	1
We will not be coming back.	-1
"I don't have very many words to say about this place, but it does everything pretty well."	1
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff."	1
"Great atmosphere, friendly and fast service."	1
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.	1
Once your food arrives it's meh.	-1
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.	-1
The classic Maine Lobster Roll was fantastic.	1
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too."	-1
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.	1
"The chips and salsa were really good, the salsa was very fresh."	1
This place is great!!!!!!!!!!!!!!	1
Mediocre food.	-1
Once you get inside you'll be impressed with the place.	1
I'm super pissd.	-1
And service was super friendly.	1
Why are these sad little vegetables so overcooked?	-1
This place was such a nice surprise!	1
They were golden-crispy and delicious.	1
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat."	-1
I could eat their bruschetta all day it is devine.	1
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.	-1
"Lastly, the mozzarella sticks, they were the best thing we ordered."	1
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was."	1
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!	-1
The service was terrible though.	-1
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!"	-1
It was packed!!	-1
I love this place.	1
I can say that the desserts were yummy.	1
The food was terrible.	-1
The seasonal fruit was fresh white peach puree.	1
It kept getting worse and worse so now I'm officially done.	-1
This place should honestly be blown up.	-1
But I definitely would not eat here again.	-1
Do not waste your money here!	-1
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.	1
The crêpe was delicate and thin and moist.	1
Awful service.	-1
Won't ever go here again.	-1
Food quality has been horrible.	-1
For that price I can think of a few place I would have much rather gone.	-1
The service here is fair at best.	-1
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services."	-1
Do yourself a favor and stay away from this dish.	-1
Very poor service.	-1
No one at the table thought the food was above average or worth the wait that we had for it.	-1
"Best service and food ever, Maria our server was so good and friendly she made our day."	1
They were excellent.	1
I paid the bill but did not tip because I felt the server did a terrible job.	-1
Just had lunch here and had a great experience.	1
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.	-1
Food is way overpriced and portions are fucking small.	-1
I recently tried Caballero's and I have been back every week since!	1
"for 40 bucks a head, i really expect better food."	-1
The food came out at a good pace.	1
"I ate there twice on my last visit, and especially enjoyed the salmon salad."	1
I won't be back.	-1
We could not believe how dirty the oysters were!	-1
This place deserves no stars.	-1
I would not recommend this place.	-1
"In fact I'm going to round up to 4 stars, just because she was so awesome."	1
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."	-1
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!"	-1
the potatoes were great and so was the biscuit.	1
I probably would not go here again.	-1
So flavorful and has just the perfect amount of heat.	1
The price is reasonable and the service is great.	1
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."	-1
My fella got the huevos rancheros and they didn't look too appealing.	-1
"Went in for happy hour, great list of wines."	1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!	1
I probably won't be coming back here.	-1
Worst food/service I've had in a while.	-1
"This place is pretty good, nice little vibe in the restaurant."	1
Talk about great customer service of course we will be back.	1
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil."	-1
I love their fries and their beans.	1
Always a pleasure dealing with him.	1
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval."	1
This place is awesome if you want something light and healthy during the summer.	1
"For sushi on the Strip, this is the place to go."	1
"The service was great, even the manager came and helped with our table."	1
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.	-1
"I started this review with two stars, but I'm editing it to give it only one."	-1
this is the worst sushi i have ever eat besides Costco's.	-1
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting."	1
My boyfriend and i sat at the bar and had a completely delightful experience.	1
Weird vibe from owners.	-1
There was hardly any meat.	-1
I've had better bagels from the grocery store.	-1
Go To Place for Gyros.	1
"I love the owner/chef, his one authentic Japanese cool dude!"	1
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless."	-1
I found a six inch long piece of wire in my salsa.	-1
"The service was terrible, food was mediocre."	-1
We definately enjoyed ourselves.	1
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.	-1
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate."	-1
I had about two bites and refused to eat anymore.	-1
The service was extremely slow.	-1
"After 20 minutes wait, I got a table."	-1
Seriously killer hot chai latte.	1
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."	-1
My boyfriend tried the Mediterranean Chicken Salad and fell in love.	1
Their rotating beers on tap is also a highlight of this place.	1
Pricing is a bit of a concern at Mellow Mushroom.	-1
Worst Thai ever.	-1
If you stay in Vegas you must get breakfast here at least once.	1
I want to first say our server was great and we had perfect service.	1
The pizza selections are good.	1
"I had strawberry tea, which was good."	1
Highly unprofessional and rude to a loyal patron!	-1
"Overall, a great experience."	1
Spend your money elsewhere.	-1
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!	1
The Buffet at Bellagio was far from what I anticipated.	-1
"And the drinks are WEAK, people!"	-1
#NAME?	-1
"Also, I feel like the chips are bought, not made in house."	-1
After the disappointing dinner we went elsewhere for dessert.	-1
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!	1
We won't be returning.	-1
This is my new fav Vegas buffet spot.	1
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.	-1
"Very, very sad."	-1
"i felt insulted and disrespected, how could you talk and judge another human being like that?"	-1
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!"	-1
I'm not impressed with the concept or the food.	-1
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	-1
"There is really nothing for me at postinos, hope your experience is better"	-1
I got food poisoning here at the buffet.	-1
They brought a fresh batch of fries and I was thinking yay something warm but no!	-1
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us."	-1
"Needless to say, I won't be going back anytime soon."	-1
This place is disgusting!	-1
"Every time I eat here, I see caring teamwork to a professional degree."	1
The RI style calamari was a joke.	-1
"However, there was so much garlic in the fondue, it was barely edible."	-1
"I could barely stomach the meal, but didn't complain because it was a business lunch."	-1
"It was so bad, I had lost the heart to finish it."	-1
It also took her forever to bring us the check when we asked for it.	-1
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!	-1
Disappointing experience.	-1
"The food is about on par with Denny's, which is to say, not good at all."	-1
"If you want to wait for mediocre food and downright terrible service, then this is the place for you."	-1
WAAAAAAyyyyyyyyyy over rated is all I am saying.	-1
We won't be going back.	-1
The place was fairly clean but the food simply wasn't worth it.	-1
This place lacked style!!	-1
"The sangria was about half of a glass wine full and was $12, ridiculous."	-1
Don't bother coming here.	-1
"The meat was pretty dry, I had the sliced brisket and pulled pork."	-1
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again."	-1
It was equally awful.	-1
Probably not in a hurry to go back.	-1
very slow at seating even with reservation.	-1
Not good by any stretch of the imagination.	-1
The cashew cream sauce was bland and the vegetables were undercooked.	-1
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat."	-1
"It was a bit too sweet, not really spicy enough, and lacked flavor."	-1
I was VERY disappointed!!	-1
This place is horrible and way overpriced.	-1
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best."	-1
It wasn't busy at all and now we know why.	-1
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	-1
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits."	-1
Con: spotty service.	-1
"The fries were not hot, and neither was my burger."	-1
But then they came back cold.	-1
"Then our food came out, disappointment ensued."	-1
The real disappointment was our waiter.	-1
My husband said she was very rude... did not even apologize for the bad food or anything.	-1
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.	-1
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it."	-1
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?	-1
She was quite disappointed although some blame needs to be placed at her door.	-1
After all the rave reviews I couldn't wait to eat here......what a disappointment!	-1
Del Taco is pretty nasty and should be avoided if possible.	-1
It's NOT hard to make a decent hamburger.	-1
But I don't like it.	-1
Hell no will I go back	-1
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.	-1
"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	-1
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.	-1
The ambiance isn't much better.	-1
"Unfortunately, it only set us up for disapppointment with our entrees."	-1
The food wasn't good.	-1
"Your servers suck, wait, correction, our server Heimer sucked."	-1
What happened next was pretty....off putting.	-1
"too bad cause I know it's family owned, I really wanted to like this place."	-1
Overpriced for what you are getting.	-1
I vomited in the bathroom mid lunch.	-1
"I kept looking at the time and it had soon become 35 minutes, yet still no food."	-1
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list."	-1
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.	-1
Food was below average.	-1
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.	-1
"All in all, Ha Long Bay was a bit of a flop."	-1
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).	-1
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.	-1
"It lacked flavor, seemed undercooked, and dry."	-1
It really is impressive that the place hasn't closed down.	-1
I would avoid this place if you are staying in the Mirage.	-1
The refried beans that came with my meal were dried out and crusty and the food was bland.	-1
Spend your money and time some place else.	-1
A lady at the table next to us found a live green caterpillar In her salad.	-1
the presentation of the food was awful.	-1
I can't tell you how disappointed I was.	-1
I think food should have flavor and texture and both were lacking.	-1
Appetite instantly gone.	-1
Overall I was not impressed and would not go back.	-1
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time."	-1
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check."	-1
The ambience is really nice staff is courteous The price is pretty high for the quantity but overall...	0
I felt good is little expensive for the quantity they serve and In terms of taste is decent There is...	0
A decent place for a family lunch or dinner well arranged in a simple manner Food was tasty and the ...	0
Ambience is not that good enough and its not a pocket friendly cafe and the quantity is not that goo...	0
Went there for a quick bite with friends The ambience had more of corporate feel I would say it was ...	0
A place for people who love churos Otherwise its a normal simple cafe like any other in town Can go...	0
Have been visiting this place since years The quality has gone down drastically Food quality has bec...	0
Congested atmosphere due to smoke from kitchen Ambience was k Service was k Churos was a new experi...	0
One of my favourite places that I often visit in South bangalore but quality has been reduced than ...	0
Chocolaty and churroic experience Hit chocolate and churro with chocolate dip in the picture My fi...	0
Churros the restaurants eponymous offering has to be tried Theyre a Mexican snack and served with ch...	0
Honestly have only tried parcels and that too only starters and mains never tried desserts So this ...	0
I went to this restaurant on Sunday afternoonIt was a bit crowded Its located in the 1st floor Abov...	0
Nice food good ambiance so many verity of food this time i was in hurry so next review will be detai...	0
Been here last week with high expectations based on few reviews But utterly disappointed with the fo...	0
Food is good No parking Ambience is average Overall its value for money if you looking for south Ind...	0
Been here last week with high expectations based on few reviews But utterly disappointed with the fo...	0
Food is good No parking Ambience is average Overall its value for money if you looking for south Ind...	0
Been here last week with high expectations based on few reviews But utterly disappointed with the fo...	0
Food is good No parking Ambience is average Overall its value for money if you looking for south Ind...	0
Been here last week with high expectations based on few reviews But utterly disappointed with the fo...	0
Food is good No parking Ambience is average Overall its value for money if you looking for south Ind...	0
Been here last week with high expectations based on few reviews But utterly disappointed with the fo...	0
Food is good No parking Ambience is average Overall its value for money if you looking for south Ind.	0
Food is good and enjoyed With 150 Rs is very nice Note It happen with us If you going TWO people y...	0
Aaaa wt to tell Unlimited food food was like exactly like south indian marriage food 2 soups sides m...	0
Food 35 Ambience 35 Service 35 Had been here for family lunch This place serves buffets too We orde...	0
Onesta serves unlimited pizza and desserts with pasta also This places has multiple branches in the ...	0
I love onesta always and their unlimited offers I had a really good experience in JP nagar but this ...	0
This outlet of onesta is on the rooftop Its has a nice chill ambience Though the size of the pizzas ...	0
I had been to this place with one of my friends its a very small place but decent And nice place to ...	0
A small roof top cafe on the main road Went around 1pm and we were the only people but later came so...	0
Visited this place as we were really hungry We ordered a pasta and a pizzaboth were quite average I ...	0
Amazing view simple and nice arrangement and a good quality of food is all that I want to sayVisited...	0
Very good chocolate flavored ice cream sizzler Nacho pizza was good Things here are a bit pricey The...	0
Visited this place as we were really hungry We ordered a pasta and a pizzaboth were quite average I ...	0
Amazing view simple and nice arrangement and a good quality of food is all that I want to sayVisited..	0
Very good chocolate flavored ice cream sizzler Nacho pizza was good Things here are a bit pricey The...	0
Good place to hang out with friends Food wise nothing great Not advisable to go with family Even if its roof and sometimes its suffocating	0
Its a decent rooftop with pretty funky ambience like scooters colourful seats and green pots on it Food tastes good I didnt liked brownie fraape and our order took a lot of time too just look towards that once Its pretty good place for hookah lovers Reasonable price too Overall one time visit is ok	0
Ambience is not that good enough and its not a pocket friendly cafe and the quantity is not that good and desserts are too good enough 	0
"Went there for a quick bite with friends
The ambience had more of corporate feel I would say it was unique
Tried nachos pasta churros and lasagne

Nachos were pathetic Seriously dont order
Pasta was okayish
Lasagne was good
Nutella churros were the best
Overall an okayish experience
Peace "	0
A place for people who love churos Otherwise its a normal simple cafe like any other in town  Can go and spend the evening there  The positive being it is one of the better cafes in and around Banashankari and also the place is not very crowded 	0
Have been visiting this place since years The quality has gone down drastically Food quality has become very average from good Service is also very bad of late	0
"Congested atmosphere due to smoke from kitchen
Ambience was k
Service was k 
Churos was a new experience recommended
Near to kims  Parking was not der"	0
"One of my favourite places that I often visit in South bangalore  but quality has been reduced than before Little unhappy with the food this time
But their churros never dissapointed me Staff are too slow and do not respond easily

Soups
Minestrone soup was like vegetable stock water with vegetables in it not happy with it

Churros 
It was great as usual A must visit place if u love churros

Starters
1 Africano panner 
It was bit sweet and not happy with the dish
2 Loaded nachos 
This happened to be their one of the best dishes but now I take back my words Very dissapointed with the dish

Main course
sicilia pizza
Pizza was too good its a must try dish

Finally I would recommend this place for churros and pizza 

Taste  610
Ambience 710
Value for money  810

Overall experience  7510"	0
"Chocolaty and churroic experience

Hit chocolate and churro with chocolate dip in the picture

My first time at this restaurant and it has delivered in service options as well as taste"	0
"One of my favourite places that I often visit in South bangalore  but quality has been reduced than before Little unhappy with the food this time
But their churros never dissapointed me Staff are too slow and do not respond easily

Soups
Minestrone soup was like vegetable stock water with vegetables in it not happy with it

Churros 
It was great as usual A must visit place if u love churros

Starters
1 Africano panner 
It was bit sweet and not happy with the dish
2 Loaded nachos 
This happened to be their one of the best dishes but now I take back my words Very dissapointed with the dish

Main course
sicilia pizza
Pizza was too good its a must try dish

Finally I would recommend this place for churros and pizza 

Taste  610
Ambience 710
Value for money  810

Overall experience  7510"	0
"Chocolaty and churroic experience

Hit chocolate and churro with chocolate dip in the picture

My first time at this restaurant and it has delivered in service options as well as taste"	0
Churros the restaurants eponymous offering has to be tried Theyre a Mexican snack and served with chocolate sauce Milkshakes are good too The interior walls have murals and writings all over Havent tried the pizzas here but the cakes and pastries were pretty good	0
Honestly have only tried parcels and that too only starters and mains  never tried desserts So this review is based on starters and mains only The quality wasnt all that great was pretty average	0
New place though its a biryani placeI tried Chinese food Best thing is the quantity too good for the price Food was kind of oknot great Definitely worth the price A slight improvement with the taste will make the place a favourite	0
Had been here to enjoy ice cream but was not happy They have tried something new but did not succeed I suggest them to try something innovative as other Icecream ships do Havent tried their wood fire pizzas still But friends have suggested that pizza is tasting very good	0
Very cuteee placesuchha kutty place but very decorative peaceful toou can pay n play ludo n all there is a book ssection n no good books so they can improve on that coffee is good but sandwich was bad cheese was no baked can improve on food	0
"Decided to take a break from my usual Pizza Parlour And also coz I love the Pineapple and Jalapeos combination that many pizza parlours dont make Having found one thst makes it I decided to give it a shot

Tried their
Hot Golden Cake Pizza Pineapple Corn and Jalapeos  dont get fooled by the use of the term cake The pizza was very good  loads of cheese thin crust and served hot What I was disappointed with was the stringent use of Pineapple and corn Pineapple was cut so small thst it was smaller than the corn kernel Very disappointing indeed 

Jalapeo Garlic Bread Didnt much care for it though it was also loaded and bursting at the seams with cheese and Jalapeos
It was too doughy"	0
Its a nice place to hangout because ambience is very relaxing They serve different varieties of coffee And recently theyve added sandwiches burgers  But theyre not UpTo the mark The only thing I like here is toastizza Not worth the price	0
"This Cafe Coffee Day is a stones throw from my residence It is better than other outlets in some ways but also worse in others

The good stuff  This CCD is hardly if ever crowded even on weekends its pretty easy to get a table The hustle and bustle around the place is quite pleasing

Bow the bad  The staff members here are quite dumb They cant understand simple instructions and often mess things up

Just like any other CCD

Food  35
Ambiance  355
Service 255
Value for money  35
Hygiene  355
Overall  35"	0
"Hideout cafe located in hosakerehalli main road The lounge is in underground kinda creepy Ambience is okay
The food in here is okay but can do better Hookah is very good A pocket friendly cafe When comes to the service its pleasing Over all had a good experience"	0
"A cave theme cafe located in 100ft road Banashankari 3rd stage Hide out cafe The ambience is good the lightings are good very comfortable place to sit and eat
The parking place is available
The food in here is okay but can do better Hookah is very good A pocket friendly cafe When comes to the service its pleasing
Food35
Ambience355
Service45"	0
"Hideout cafe located in hosakerehalli The lounge is in underground kinda creepy Ambience is okay Me and my friends wanted to visit this place from a long time one fine day we hopped in We ordered
1 Hookah panrasgrapemint
2 Cheese potato kurkure okayish
3 Chicken nachoes okayish

Hookah was good and the waiters were friendly They have to improve their taste in foods Other than that its worth a visit

Ambience35
Service 45
Food  35"	0
Undoubtedly worth visiting Hideout Cafe once with your friends Ambience is more like a pub than a cafe with lowlight As there is no proper ventilation  you would feel a bit uncomfortable and suffocated inside the place Hookah is good  food and beverages are a bit affordable and tasty as well The crews are friendly	0
"Tasty idlis and Kesari bath but chatni and sambar were not upto the mark Especially sambar was really bad
Packaging also can be little better
"	0
                       	0
packing super and dosaidli and vada is good but the sides is worst need to improve a lot in sides like sambar and Sagu if improved it will be a super please for south indian food	0
SPOON WAS NOT THERE AND PACKING OF TEA WAS NOT GOO	0
I have not received rice bath 	0
SPOON WAS NOT THERE AND PACKING OF TEA WAS NOT GOO	0
I have not received rice bath 	0
SPOON WAS NOT THERE AND PACKING OF TEA WAS NOT GOO	0
I have not received rice bath 	0
SPOON WAS NOT THERE AND PACKING OF TEA WAS NOT GOO	0
I have not received rice bath 	0
not up to the mark	0
not up to the mark	0
not up to the mark	0
not up to the mark	0
Not a huge fan of the ambience Esp when its sunny n the dry wind kills you at noon this is the last place on earth I wanna sit n dine  Been here a couple of times Very courteous n attentive staff though Quick service as well Love their Chicken Tikka sandwich They have a good range of quick bites as well esp the potato wedges being a favorite Plus used to like their Lasagna pretty much with all that spicy juicy meat stuffed in	0
"I never used to like this branch of Cuppa The tea they serve tastes weird Their donuts are extremely hard and etc
But after they have started off with hookah Ive started frequenting it The hookah you get here is one of the best in South Bangalore
Itd be a better place if their snack ons are paid more attention to by the chefs"	0
"Ordered cold coffee and sandwich and espresso  Sandwich was average espresso and cold coffee were good


Ambiance 355
Food quality 35
Service 355
Overall 3  5"	0
There is no authenticity in the food items	0
There is no authenticity in the food items	0
There is no authenticity in the food items	0
There is no authenticity in the food items	0
Not bad k	0
Not bad k	0
Not bad k	0
Not bad k	0
Not bad k	0
Not bad k	0
gravy was not good	0
gravy was not good	0
gravy was not good	0
Nice	0
Nice	0
Nice	0
Nice	0
It took over an hour for rice and fulka	0
delivered late and not hot	0
n	0
delivered late and not hot	0
n	0
Salt was less in paneer rice	0
Hospitality is the big plus Chapathi is very good along with egg gravy and kadala curry Aapam is very poor looked very bad Difficult to spot the shop Menu is Zomato is an out dated one Name of restaurant is found in menu book	0
"I like this place They usually serve good food Today I ordered dinner from here and also added a dessert Matka Kheer

See the attached image it came in that brown glass For long time I kept wondering that did I place wrong order Why is there a glass of hot milk instead of Kheer Then I used spoon and guess what there was boiled rice too"	0
I had ordered a BBQ paneer rice bowl from swiggy The food was bland and didnt have much salt Considering the quantity the price was on the higher side	0
"Ordered a burrito bowl barbecue paneer
Regular bowl was enough to fill two of us
As for the taste its all vegetables less rice which I like So that means you are actually having more vitamins nutrients than just carbs
I have been here a couple of times earlier as well The barbecue chicken bowl was good too A note of advise for ppl who like their food spicy you could as well tell them to make it spicy which would still end up being only half as much as you expected
Overall a nice experience "	0
Had the jhal puri samosa  kullad chai  The samosa was average  jhal puri was good  the kullad chai was weak  not great  Would try other dishes soon  maybe review again 	0
An alright option to spend your time food is alright servers are friendly Did not find anything to complaint about Food was not amazing but not bad either	0
"It is a good place in old airport road We went for a team lunch with 52 people on a tight budget It really turned out to be a good option
We were a little concerned before but it was good Courteous staff Food tastes good Buffet does not have many delicacies in the menu But whatever is there is tasty
Ambience is OK Outdoor seatings are good
Will go there again"	0
"When youre not in a mood to cook and also youre not able to decide what should you cook then java is a great option for you Lots of varieties are available for you and its Very decent and clean place I tried its pasta and garlic bread these are mouth watering
Really Java is a nice and pocket budget restaurant"	0
"Its open 24 Hours Yes Believe me
Decent pizzas and sandwiches to satisfy post binge hunger pangs at wee hours of the morning Besides that veggies and spinach curry chicken masala biryanis and yellow dal are quite likeable Light on the pocket but also on the portions"	0
"Great place to have an evening tea But that is it
Snacks didnt taste genuine"	0
Nice place for Andhra meals  Biryani Has other decent options too Value for money pocket friendly Overall its nice to have authentic homely Andhra food It is very cheap and great value for money Try their plate thali or full plate thali Must try their pepper chicken and guntur chicken They dont have a detailed menu however has really great limited menu which is awesome Not a great place for hanging out but a quick and cozy place to grab the quick bite	0
"Myself and my Colleague been to this place for lunch we tried tandoori chicken Kadi murgh butter Naan and roti taste of Tandoori chicken was good but didnt serve any chutney with it Kasai chicken was average
Food 25
Ambient  2
Service 2
Value for money  3
Overall 3"	0
"Visited on a weekday evening The place was mostly empty Ordered romali roti and hyderabadi chicken

Pros
The place was decent and clean considering the price
The waiter was really friendly
Service was quick
The dishes are quite cheap

Cons
The hyderabadi chicken was just average and was surprisingly a green gravy not gongura though 
The chicken was hard and rubbery"	0
The pizza was good It was served warm but they didnt have plates The garlic bread was burnt and not cheesy enough They didnt have hot sauce either	0
Wasnt a new york style pizza It was just a normal pan pizza	0
Pasta was too spicy The Sbarro Pizza we get in the mall is much better	0
"Shanti Sagar has been our favorite south Indian restaurant for 8 years now and we visit once a while with family Location is right opposite to Domlur bus stand  Food is yum as they invest a lot in quality

Tip to Management  Please try your staffs to be little more polite "	0
"Ordered veg biryani from fazzito food was delivered within 20 minutes and packing was good

Food tasted mild and was too greasy
Quantity would suffice a person or two"	0
In all over India there are always 04 full pieces of chicken in half tandoori chicken dish But in your half tandoori chicken dish only 03 pieces were there	0
Tandoori is good	0
I had Roti and chicken comboRoti size is not as expected and gravy quantity is too lessbut taste is not badwe can call it an average place	0
I had Roti and chicken comboRoti size is not as expected and gravy quantity is too lessbut taste is not badwe can call it an average place	0
We visited with my family we love the ambience order family chicken biryani its not up to mark we check with server biryani lots of masala he replied sir like this we make server were behaviour polite and respectful good service	0
I went there to quickly grab something for the lunch However they were super duper slow Even though the restaurant was almost empty they took considerable amount of time to get us food We ordered Kadhai paneer and mushroom masala the taste was almost same Veg manchurian and Fried rice were decent Didnt find anything fancy about this place	0
I ordered parathas from this place I ordered aloo paratha and paneer paratha from this place The delivery was done right on time The parathas were good	0
Went there with my office teammates for lunch buffet We were the only people there for the entire time The food and service was decent but I felt it didnt make up for the bad ambience music and lack of choices in buffet The staters were good if your a nonvegetarian like me but maincourse was poor for the number of choices But the dishes they had 1 chicken 1 fish were good Deserts better avoid was horrible Wont be visiting anytime soon	0
Good ambur biriyani Being a tamil we love kothu parotta and its amazing here try mutton kothu praottaless in quantity but its  100 bucks so no complaints	0
Ambience of the restaurant was really fabulous and its like been a trybut the try didnt went downthe biryani is not that good to praisebut its up to the standards of a gud biryanithe kebab is good to haveand service is little messed up all overn their sweet is not sweeter it needs more sweet to call it us a sweetyaoverall the ambience is peace well 	0
"Good Ambur Biriyani and Chicken 65  Ambur biriyani has a diff taste alltogether and this places could recreate the taste
I had take some take away and the ambiance looks simple and goodPrice is OK"	0
Its just a usual sweet and chat shop with a feel of a restaurant Ambiance is good with clean interiors and good seating space however the rest is just common The options are not that wide to choose from although they have kept their rates slightly higher compared to similar places in the area	0
Average experience in terms of taste Sweets and savories are fresh though They have bunch of outlets in my locality Bit pricey I would say	0
North Indian thali is good Nice place to have chat lassi and hot badam milk Sweets are their speciality especially the kaju katti Can get a bit crowded at times	0
"Kantis is a quaint sweet shop tucked away in the bylanes of Indiranagar More specifically its just opposite the HP petrol pump on New Thippasandra Road about 1 KM down from 80 ft road

I was waiting for my Uber to show up and I had about 15 mins to kill and I happened to chance upon Kantis So I stepped in and after glancing at the sweet offering decided to taste a few 

I cant comment on the rest of the food menu but the sweets were just about average Enough to be modestly satisfied as I waited for my cab but not delightful enough that I would trek all this way for an encore The ambiance is decent Dont expect much and you wont be disappointed"	0
"Kantis is located on the New Thippasandra road just ahead of the  Ganesha Temple It is quite a small place with about 6 tables and chairs They also serve chaat items besides sweets and parathas I usually buy different types of paranthas mostly with chole The paranthas are quite good with good filling The size is also pretty huge two paranthas were good enough to fill my tummy 

The chaats are pretty passable I did not find them great Both masala puri chaat and bhel puri were very average In any case I am quite happy with the paranthas for dinner"	0
"Kantis is located on the New Thippasandra road just ahead of the  Ganesha Temple It is quite a small place with about 6 tables and chairs They also serve chaat items besides sweets and parathas I usually buy different types of paranthas mostly with chole The paranthas are quite good with good filling The size is also pretty huge two paranthas were good enough to fill my tummy 

The chaats are pretty passable I did not find them great Both masala puri chaat and bhel puri were very average In any case I am quite happy with the paranthas for dinner"	0
"This place has been one of my happy parathana and chat eating place during my initial days in Bangalore while staying in a PG accommodation in Indiranagar
They have been serving delectable varieties of irresistible paranthas right from the basic aloo paranthas to the mixed paranthas served with achaar  curd and a square of butter on the top which melts to the glory and delight
Sometimes I used to try their alacarte dishes like palak paneer and alu matar
The seating here is basic but you will love the taste
The service is usually fast but do expect some delays and hiccups during the busy hours
Some day I would visit this place again to revive my memories and savour the old taste
My rating 35

thefoodietalescom"	0
Was craving a chaat and this was the nearest decent place for Chaat Between two of us ordered bhel panipuri ragda pattis Did not like the ragda The bhel and panipuri was good Def recommended for a quick chaat at a no frills place Later went for a North Indian brekkie Had sattu parathas alu parathas and onion parathas between 4 of us All good loved the alu one the most	0
"Food is okayish The quantity is good enough for two Price is okay for the quantity

Have ordered multiple times Delivery has been on time Ordered Chicken biryani and chicken lollipop"	0
when you want a food in midnight and get on delivery is goodBut i tasted it more spicyBut spicy lover defintly likes itover all so n so	0
we ordered for butter paratha but butter was not on one paratha	0
Delivery on time by zomatoI ordered tandoori chickenit is not so good to ratttingonly best part at that midnight time i got food n slept without a empty stomachPortion was also smallwill order if will not get any other option for food at midnight	0
